[2025-10-26T11:16:51.443+0000] {taskinstance.py:1103} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: fpl_gameweeks_etl.fetch_players_gw_task manual__2025-10-26T11:16:13.467267+00:00 map_index=1 [queued]>
[2025-10-26T11:16:51.481+0000] {taskinstance.py:1103} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: fpl_gameweeks_etl.fetch_players_gw_task manual__2025-10-26T11:16:13.467267+00:00 map_index=1 [queued]>
[2025-10-26T11:16:51.482+0000] {taskinstance.py:1308} INFO - Starting attempt 1 of 2
[2025-10-26T11:16:51.756+0000] {taskinstance.py:1327} INFO - Executing <Mapped(_PythonDecoratedOperator): fetch_players_gw_task> on 2025-10-26 11:16:13.467267+00:00
[2025-10-26T11:16:51.767+0000] {standard_task_runner.py:57} INFO - Started process 493 to run task
[2025-10-26T11:16:51.775+0000] {standard_task_runner.py:84} INFO - Running: ['airflow', 'tasks', 'run', 'fpl_gameweeks_etl', 'fetch_players_gw_task', 'manual__2025-10-26T11:16:13.467267+00:00', '--job-id', '7967', '--raw', '--subdir', 'DAGS_FOLDER/fpl_gameweeks_dag.py', '--cfg-path', '/tmp/tmpjsesp2jv', '--map-index', '1']
[2025-10-26T11:16:51.779+0000] {standard_task_runner.py:85} INFO - Job 7967: Subtask fetch_players_gw_task
[2025-10-26T11:16:51.945+0000] {task_command.py:410} INFO - Running <TaskInstance: fpl_gameweeks_etl.fetch_players_gw_task manual__2025-10-26T11:16:13.467267+00:00 map_index=1 [running]> on host c3dbc1c35cec
[2025-10-26T11:16:52.550+0000] {taskinstance.py:1547} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='richardilemon' AIRFLOW_CTX_DAG_ID='fpl_gameweeks_etl' AIRFLOW_CTX_TASK_ID='fetch_players_gw_task' AIRFLOW_CTX_EXECUTION_DATE='2025-10-26T11:16:13.467267+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-10-26T11:16:13.467267+00:00'
[2025-10-26T11:16:54.134+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2019-20/players/Petr_Cech_1/gw.csv
[2025-10-26T11:16:55.627+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2019-20/players/Bernd_Leno_2/gw.csv
[2025-10-26T11:16:57.038+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2019-20/players/Laurent_Koscielny_3/gw.csv
[2025-10-26T11:16:58.694+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2019-20/players/Héctor_Bellerín_4/gw.csv
[2025-10-26T11:17:02.518+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2019-20/players/Nacho_Monreal_5/gw.csv
[2025-10-26T11:17:05.515+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2019-20/players/Rob_Holding_6/gw.csv
[2025-10-26T11:17:10.042+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2019-20/players/Shkodran_Mustafi_7/gw.csv
[2025-10-26T11:17:13.218+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2019-20/players/Sead_Kolasinac_8/gw.csv
[2025-10-26T11:17:14.974+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2019-20/players/Konstantinos_Mavropanos_10/gw.csv
[2025-10-26T11:17:18.423+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2019-20/players/Stephan_Lichtsteiner_11/gw.csv
[2025-10-26T11:17:22.347+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2019-20/players/Sokratis_Papastathopoulos_12/gw.csv
[2025-10-26T11:17:24.261+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2019-20/players/Mesut_Özil_13/gw.csv
[2025-10-26T11:17:30.078+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2019-20/players/Aaron_Ramsey_14/gw.csv
[2025-10-26T11:17:34.113+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2019-20/players/Alex_Iwobi_15/gw.csv
[2025-10-26T11:17:42.048+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2019-20/players/Mohamed_Elneny_16/gw.csv
[2025-10-26T11:17:49.149+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2019-20/players/Granit_Xhaka_17/gw.csv
[2025-10-26T11:17:54.575+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2019-20/players/Henrikh_Mkhitaryan_18/gw.csv
[2025-10-26T11:17:57.441+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2019-20/players/Reiss_Nelson_19/gw.csv
[2025-10-26T11:17:59.607+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2019-20/players/Ainsley_Maitland-Niles_20/gw.csv
[2025-10-26T11:18:01.710+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2019-20/players/Danny_Welbeck_21/gw.csv
[2025-10-26T11:18:04.127+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2019-20/players/Alexandre_Lacazette_22/gw.csv
[2025-10-26T11:18:05.385+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2019-20/players/Pierre-Emerick_Aubameyang_23/gw.csv
[2025-10-26T11:18:08.261+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2019-20/players/Lucas_Torreira_450/gw.csv
[2025-10-26T11:18:09.734+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2019-20/players/Matteo_Guendouzi_451/gw.csv
