[2025-10-26T11:16:50.904+0000] {taskinstance.py:1103} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: fpl_gameweeks_etl.fetch_players_gw_task manual__2025-10-26T11:16:13.467267+00:00 map_index=3 [queued]>
[2025-10-26T11:16:51.008+0000] {taskinstance.py:1103} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: fpl_gameweeks_etl.fetch_players_gw_task manual__2025-10-26T11:16:13.467267+00:00 map_index=3 [queued]>
[2025-10-26T11:16:51.008+0000] {taskinstance.py:1308} INFO - Starting attempt 1 of 2
[2025-10-26T11:16:51.612+0000] {taskinstance.py:1327} INFO - Executing <Mapped(_PythonDecoratedOperator): fetch_players_gw_task> on 2025-10-26 11:16:13.467267+00:00
[2025-10-26T11:16:51.623+0000] {standard_task_runner.py:57} INFO - Started process 492 to run task
[2025-10-26T11:16:51.634+0000] {standard_task_runner.py:84} INFO - Running: ['airflow', 'tasks', 'run', 'fpl_gameweeks_etl', 'fetch_players_gw_task', 'manual__2025-10-26T11:16:13.467267+00:00', '--job-id', '7962', '--raw', '--subdir', 'DAGS_FOLDER/fpl_gameweeks_dag.py', '--cfg-path', '/tmp/tmpu86rnjwx', '--map-index', '3']
[2025-10-26T11:16:51.639+0000] {standard_task_runner.py:85} INFO - Job 7962: Subtask fetch_players_gw_task
[2025-10-26T11:16:51.819+0000] {task_command.py:410} INFO - Running <TaskInstance: fpl_gameweeks_etl.fetch_players_gw_task manual__2025-10-26T11:16:13.467267+00:00 map_index=3 [running]> on host c3dbc1c35cec
[2025-10-26T11:16:52.271+0000] {taskinstance.py:1547} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='richardilemon' AIRFLOW_CTX_DAG_ID='fpl_gameweeks_etl' AIRFLOW_CTX_TASK_ID='fetch_players_gw_task' AIRFLOW_CTX_EXECUTION_DATE='2025-10-26T11:16:13.467267+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-10-26T11:16:13.467267+00:00'
[2025-10-26T11:16:53.854+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2021-22/players/Petr_Cech_1/gw.csv
[2025-10-26T11:16:55.028+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2021-22/players/Bernd_Leno_2/gw.csv
[2025-10-26T11:16:56.709+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2021-22/players/Laurent_Koscielny_3/gw.csv
[2025-10-26T11:16:57.692+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2021-22/players/Héctor_Bellerín_4/gw.csv
[2025-10-26T11:16:59.660+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2021-22/players/Nacho_Monreal_5/gw.csv
[2025-10-26T11:17:02.666+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2021-22/players/Rob_Holding_6/gw.csv
[2025-10-26T11:17:07.193+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2021-22/players/Shkodran_Mustafi_7/gw.csv
[2025-10-26T11:17:10.558+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2021-22/players/Sead_Kolasinac_8/gw.csv
[2025-10-26T11:17:13.971+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2021-22/players/Konstantinos_Mavropanos_10/gw.csv
[2025-10-26T11:17:16.053+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2021-22/players/Stephan_Lichtsteiner_11/gw.csv
[2025-10-26T11:17:20.300+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2021-22/players/Sokratis_Papastathopoulos_12/gw.csv
[2025-10-26T11:17:23.270+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2021-22/players/Mesut_Özil_13/gw.csv
[2025-10-26T11:17:27.513+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2021-22/players/Aaron_Ramsey_14/gw.csv
[2025-10-26T11:17:31.334+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2021-22/players/Alex_Iwobi_15/gw.csv
[2025-10-26T11:17:40.318+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2021-22/players/Mohamed_Elneny_16/gw.csv
[2025-10-26T11:17:42.493+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2021-22/players/Granit_Xhaka_17/gw.csv
[2025-10-26T11:17:51.037+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2021-22/players/Henrikh_Mkhitaryan_18/gw.csv
[2025-10-26T11:17:55.288+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2021-22/players/Reiss_Nelson_19/gw.csv
[2025-10-26T11:17:57.858+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2021-22/players/Ainsley_Maitland-Niles_20/gw.csv
[2025-10-26T11:17:59.755+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2021-22/players/Danny_Welbeck_21/gw.csv
[2025-10-26T11:18:01.780+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2021-22/players/Alexandre_Lacazette_22/gw.csv
[2025-10-26T11:18:04.165+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2021-22/players/Pierre-Emerick_Aubameyang_23/gw.csv
[2025-10-26T11:18:05.551+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2021-22/players/Lucas_Torreira_450/gw.csv
[2025-10-26T11:18:08.277+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2021-22/players/Matteo_Guendouzi_451/gw.csv
[2025-10-26T11:18:09.581+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2021-22/players/Emiliano_Martínez_542/gw.csv
[2025-10-26T11:18:11.369+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2021-22/players/Emile_Smith-Rowe_545/gw.csv
[2025-10-26T11:18:12.613+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2021-22/players/Zech_Medley_546/gw.csv
[2025-10-26T11:18:14.721+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2021-22/players/Edward_Nketiah_552/gw.csv
[2025-10-26T11:18:17.012+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2021-22/players/Bukayo_Saka_563/gw.csv
[2025-10-26T11:18:19.056+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2021-22/players/Joseph_Willock_566/gw.csv
[2025-10-26T11:18:23.862+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2021-22/players/Carl_Jenkinson_581/gw.csv
[2025-10-26T11:18:27.490+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2021-22/players/Denis_Suárez_586/gw.csv
[2025-10-26T11:18:29.114+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2021-22/players/Asmir_Begovic_24/gw.csv
