[2025-10-26T11:16:51.207+0000] {taskinstance.py:1103} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: fpl_gameweeks_etl.fetch_players_gw_task manual__2025-10-26T11:16:13.467267+00:00 map_index=6 [queued]>
[2025-10-26T11:16:51.268+0000] {taskinstance.py:1103} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: fpl_gameweeks_etl.fetch_players_gw_task manual__2025-10-26T11:16:13.467267+00:00 map_index=6 [queued]>
[2025-10-26T11:16:51.270+0000] {taskinstance.py:1308} INFO - Starting attempt 1 of 2
[2025-10-26T11:16:52.151+0000] {taskinstance.py:1327} INFO - Executing <Mapped(_PythonDecoratedOperator): fetch_players_gw_task> on 2025-10-26 11:16:13.467267+00:00
[2025-10-26T11:16:52.163+0000] {standard_task_runner.py:57} INFO - Started process 495 to run task
[2025-10-26T11:16:52.175+0000] {standard_task_runner.py:84} INFO - Running: ['airflow', 'tasks', 'run', 'fpl_gameweeks_etl', 'fetch_players_gw_task', 'manual__2025-10-26T11:16:13.467267+00:00', '--job-id', '7965', '--raw', '--subdir', 'DAGS_FOLDER/fpl_gameweeks_dag.py', '--cfg-path', '/tmp/tmp_tqo_x75', '--map-index', '6']
[2025-10-26T11:16:52.177+0000] {standard_task_runner.py:85} INFO - Job 7965: Subtask fetch_players_gw_task
[2025-10-26T11:16:52.386+0000] {task_command.py:410} INFO - Running <TaskInstance: fpl_gameweeks_etl.fetch_players_gw_task manual__2025-10-26T11:16:13.467267+00:00 map_index=6 [running]> on host c3dbc1c35cec
[2025-10-26T11:16:52.990+0000] {taskinstance.py:1547} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='richardilemon' AIRFLOW_CTX_DAG_ID='fpl_gameweeks_etl' AIRFLOW_CTX_TASK_ID='fetch_players_gw_task' AIRFLOW_CTX_EXECUTION_DATE='2025-10-26T11:16:13.467267+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-10-26T11:16:13.467267+00:00'
[2025-10-26T11:16:54.463+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2024-25/players/Petr_Cech_1/gw.csv
[2025-10-26T11:16:55.719+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2024-25/players/Bernd_Leno_2/gw.csv
[2025-10-26T11:16:57.040+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2024-25/players/Laurent_Koscielny_3/gw.csv
[2025-10-26T11:16:58.697+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2024-25/players/Héctor_Bellerín_4/gw.csv
[2025-10-26T11:17:02.533+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2024-25/players/Nacho_Monreal_5/gw.csv
[2025-10-26T11:17:05.532+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2024-25/players/Rob_Holding_6/gw.csv
[2025-10-26T11:17:10.040+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2024-25/players/Shkodran_Mustafi_7/gw.csv
[2025-10-26T11:17:13.246+0000] {fetch_api_data.py:66} INFO - Requested Url -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2024-25/players/Sead_Kolasinac_8/gw.csv
