[2025-10-26T17:31:57.716+0000] {taskinstance.py:1103} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: fpl_gameweeks_etl.fetch_players_gw_task manual__2025-10-26T17:31:26.805933+00:00 map_index=0 [queued]>
[2025-10-26T17:31:57.769+0000] {taskinstance.py:1103} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: fpl_gameweeks_etl.fetch_players_gw_task manual__2025-10-26T17:31:26.805933+00:00 map_index=0 [queued]>
[2025-10-26T17:31:57.802+0000] {taskinstance.py:1308} INFO - Starting attempt 1 of 2
[2025-10-26T17:31:58.459+0000] {taskinstance.py:1327} INFO - Executing <Mapped(_PythonDecoratedOperator): fetch_players_gw_task> on 2025-10-26 17:31:26.805933+00:00
[2025-10-26T17:31:58.471+0000] {standard_task_runner.py:57} INFO - Started process 2122 to run task
[2025-10-26T17:31:58.492+0000] {standard_task_runner.py:84} INFO - Running: ['airflow', 'tasks', 'run', 'fpl_gameweeks_etl', 'fetch_players_gw_task', 'manual__2025-10-26T17:31:26.805933+00:00', '--job-id', '8321', '--raw', '--subdir', 'DAGS_FOLDER/fpl_gameweeks_dag.py', '--cfg-path', '/tmp/tmpw8bacumd', '--map-index', '0']
[2025-10-26T17:31:58.501+0000] {standard_task_runner.py:85} INFO - Job 8321: Subtask fetch_players_gw_task
[2025-10-26T17:31:58.732+0000] {task_command.py:410} INFO - Running <TaskInstance: fpl_gameweeks_etl.fetch_players_gw_task manual__2025-10-26T17:31:26.805933+00:00 map_index=0 [running]> on host 19131f4ed372
[2025-10-26T17:31:59.151+0000] {taskinstance.py:1547} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='richardilemon' AIRFLOW_CTX_DAG_ID='fpl_gameweeks_etl' AIRFLOW_CTX_TASK_ID='fetch_players_gw_task' AIRFLOW_CTX_EXECUTION_DATE='2025-10-26T17:31:26.805933+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-10-26T17:31:26.805933+00:00'
[2025-10-26T17:31:59.181+0000] {fetch_api_data.py:66} INFO - Fetching Player Data -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2018-19/players/Petr_Cech_1/gw.csv
[2025-10-26T17:31:59.819+0000] {fetch_api_data.py:66} INFO - Fetching Player Data -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2018-19/players/Bernd_Leno_2/gw.csv
[2025-10-26T17:32:00.533+0000] {fetch_api_data.py:66} INFO - Fetching Player Data -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2018-19/players/Laurent_Koscielny_3/gw.csv
[2025-10-26T17:32:01.139+0000] {fetch_api_data.py:66} INFO - Fetching Player Data -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2018-19/players/Héctor_Bellerín_4/gw.csv
[2025-10-26T17:32:01.719+0000] {fetch_api_data.py:66} INFO - Fetching Player Data -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2018-19/players/Nacho_Monreal_5/gw.csv
[2025-10-26T17:32:02.352+0000] {fetch_api_data.py:66} INFO - Fetching Player Data -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2018-19/players/Rob_Holding_6/gw.csv
[2025-10-26T17:32:02.975+0000] {fetch_api_data.py:66} INFO - Fetching Player Data -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2018-19/players/Shkodran_Mustafi_7/gw.csv
[2025-10-26T17:32:03.595+0000] {fetch_api_data.py:66} INFO - Fetching Player Data -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2018-19/players/Sead_Kolasinac_8/gw.csv
[2025-10-26T17:32:04.182+0000] {fetch_api_data.py:66} INFO - Fetching Player Data -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2018-19/players/Konstantinos_Mavropanos_10/gw.csv
[2025-10-26T17:32:04.783+0000] {fetch_api_data.py:66} INFO - Fetching Player Data -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2018-19/players/Stephan_Lichtsteiner_11/gw.csv
[2025-10-26T17:32:05.424+0000] {fetch_api_data.py:66} INFO - Fetching Player Data -> https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/master/data/2018-19/players/Sokratis_Papastathopoulos_12/gw.csv
