player_name,team_id,team_name,full_name
fábio vieira,1,Arsenal,Fábio Vieira
g.jesus,1,Arsenal,G.Jesus
gabriel,1,Arsenal,Gabriel
havertz,1,Arsenal,Havertz
hein,1,Arsenal,Hein
j.timber,1,Arsenal,J.Timber
jorginho,1,Arsenal,Jorginho
kiwior,1,Arsenal,Kiwior
martinelli,1,Arsenal,Martinelli
nwaneri,1,Arsenal,Nwaneri
ødegaard,1,Arsenal,Ødegaard
raya,1,Arsenal,Raya
rice,1,Arsenal,Rice
saka,1,Arsenal,Saka
saliba,1,Arsenal,Saliba
thomas,1,Arsenal,Thomas
tierney,1,Arsenal,Tierney
tomiyasu,1,Arsenal,Tomiyasu
trossard,1,Arsenal,Trossard
white,1,Arsenal,White
zinchenko,1,Arsenal,Zinchenko
neto,1,Arsenal,Neto
sterling,1,Arsenal,Sterling
calafiori,1,Arsenal,Calafiori
lewis-skelly,1,Arsenal,Lewis-Skelly
merino,1,Arsenal,Merino
oulad m'hand,1,Arsenal,Oulad M'hand
setford,1,Arsenal,Setford
kacurri,1,Arsenal,Kacurri
heaven,1,Arsenal,Heaven
kabia,1,Arsenal,Kabia
nichols,1,Arsenal,Nichols
butler-oyedeji,1,Arsenal,Butler-Oyedeji
arteta,1,Arsenal,Arteta
porter,1,Arsenal,Porter
bailey,2,Aston Villa,Bailey
barkley,2,Aston Villa,Barkley
barrenechea,2,Aston Villa,Barrenechea
buendia,2,Aston Villa,Buendia
cash,2,Aston Villa,Cash
dendoncker,2,Aston Villa,Dendoncker
diaby,2,Aston Villa,Diaby
diego carlos,2,Aston Villa,Diego Carlos
digne,2,Aston Villa,Digne
dobbin,2,Aston Villa,Dobbin
duran,2,Aston Villa,Duran
gauci,2,Aston Villa,Gauci
hause,2,Aston Villa,Hause
iling jr,2,Aston Villa,Iling Jr
kamara,2,Aston Villa,Kamara
kesler-hayden,2,Aston Villa,Kesler-Hayden
konsa,2,Aston Villa,Konsa
maatsen,2,Aston Villa,Maatsen
marschall,2,Aston Villa,Marschall
martinez,2,Aston Villa,Martinez
mcginn,2,Aston Villa,McGinn
mings,2,Aston Villa,Mings
nedeljkovic,2,Aston Villa,Nedeljkovic
olsen,2,Aston Villa,Olsen
pau,2,Aston Villa,Pau
ramsey,2,Aston Villa,Ramsey
rogers,2,Aston Villa,Rogers
sinisalo,2,Aston Villa,Sinisalo
sousa,2,Aston Villa,Sousa
tielemans,2,Aston Villa,Tielemans
watkins,2,Aston Villa,Watkins
onana,2,Aston Villa,Onana
bogarde,2,Aston Villa,Bogarde
swinkels,2,Aston Villa,Swinkels
zych,2,Aston Villa,Zych
young,2,Aston Villa,Young
broggio,2,Aston Villa,Broggio
jimoh,2,Aston Villa,Jimoh
malen,2,Aston Villa,Malen
a. garcia,2,Aston Villa,A. Garcia
emery,2,Aston Villa,Emery
aarons,3,Bournemouth,Aarons
adams,3,Bournemouth,Adams
